chapter_id	subject_id	chapter_name
MI1016-1	MI1016	Chương 1 - Calculus I
MI1016-2	MI1016	Chương 2 - Calculus I
MI1016-3	MI1016	Chương 3 - Calculus I
MI1016-4	MI1016	Chương 4 - Calculus I
MI1016-5	MI1016	Chương 5 - Calculus I
MI1016-6	MI1016	Chương 6 - Calculus I
MI1026-1	MI1026	Chương 1 - Giải tích II
MI1026-2	MI1026	Chương 2 - Giải tích II
MI1026-3	MI1026	Chương 3 - Giải tích II
MI1026-4	MI1026	Chương 4 - Giải tích II
MI1026-5	MI1026	Chương 5 - Giải tích II
MI1026-6	MI1026	Chương 6 - Giải tích II
MI1026E-1	MI1026E	Chương 1 - Calculus II
MI1026E-2	MI1026E	Chương 2 - Calculus II
MI1026E-3	MI1026E	Chương 3 - Calculus II
MI1026E-4	MI1026E	Chương 4 - Calculus II
MI1026E-5	MI1026E	Chương 5 - Calculus II
MI1026E-6	MI1026E	Chương 6 - Calculus II
MI1036-1	MI1036	Chương 1 - Algebra
MI1036-2	MI1036	Chương 2 - Algebra
MI1036-3	MI1036	Chương 3 - Algebra
MI1036-4	MI1036	Chương 4 - Algebra
MI1036-5	MI1036	Chương 5 - Algebra
MI1036-6	MI1036	Chương 6 - Algebra
MI1046E-1	MI1046E	Chương 1 - Differential equations and series
MI1046E-2	MI1046E	Chương 2 - Differential equations and series
MI1046E-3	MI1046E	Chương 3 - Differential equations and series
MI1046E-4	MI1046E	Chương 4 - Differential equations and series
MI1046E-5	MI1046E	Chương 5 - Differential equations and series
MI1046E-6	MI1046E	Chương 6 - Differential equations and series
MI1111-1	MI1111	Chương 1 - Giải tích I
MI1111-2	MI1111	Chương 2 - Giải tích I
MI1111-3	MI1111	Chương 3 - Giải tích I
MI1111-4	MI1111	Chương 4 - Giải tích I
MI1111-5	MI1111	Chương 5 - Giải tích I
MI1111-6	MI1111	Chương 6 - Giải tích I
MI1112-1	MI1112	Chương 1 - Giải tích I
MI1112-2	MI1112	Chương 2 - Giải tích I
MI1112-3	MI1112	Chương 3 - Giải tích I
MI1112-4	MI1112	Chương 4 - Giải tích I
MI1112-5	MI1112	Chương 5 - Giải tích I
