question_id	chapter_id	difficulty	tex	created_at
MI2026E-1-1	MI2026E-1	easy	"Problem 1: ( 1.5 points) A plane's ""black-box"" is manufactured by only 3 companies: AirCorp, BigSkies, and CharterUS - who make $55 \%, 25 \%$, and $20 \%$ of all the black-boxes made, respectively. Invariably, some of these are defective. Assuming the percentage of defective blackboxes made by AirCorp, BigSkies, and CharterUS are $4 \%, 6 \%$, and $9 \%$, respectively. Find the probability that a randomly selected black-box came from AirCorp given that it was found to be defective."	
MI2026E-2-1	MI2026E-2	easy	"Problem 2: (2.0 points) Suppose X and Y are continuous random variables with the following joint probability density function (pdf):

$$
f(x, y)=\left\{\begin{array}{l}
24 x y \text { if } x>0, y>0 \text { and } x+y<1, \\
0 \text { otherwise. }
\end{array}\right.
$$


Calculate the coefficient of correlation between $X$ and $Y$. Are $X$ and $Y$ independent?"	
MI2026E-3-1	MI2026E-3	medium	"Problem 3: (2.0 points) Insurance companies are interested in knowing the population percent of drivers who always buckle up before riding in a car. They randomly surveyed 400 drivers and found that 320 claimed they always buckle up.
a) Find the point estimator of the proportion ( $p$ ) of drivers who claim they always buckle up by the maximum likelihood estimation method.
b) Find a $90 \%$ confidence interval for $p$."	
MI2026E-4-1	MI2026E-4	medium	"Problem 4: (2.0 points) The dissolved oxygen content in river water was measured to determine whether a stream had sufficient oxygen to support aquatic life. A pollution control inspector suspected that a river community was releasing amounts of semitreated sewage into a river. To check his theory, he drew ten randomly selected specimens of river water at a location above the town, and another ten below. The dissolved oxygen readings (in parts per million) are as follows:

Below Town: 5.0, 4.7, 4.9, 4.8, 4.9, 4.8, 4.7, 5.0, 4.8, 4.8
Above Town: 4.8, 5.2, 5.0, 4.9, 5.1, 5.1, 4.9, 4.9, 5.4, 5.0
Do the data provide sufficient evidence to indicate that the mean oxygen content below the town is less than the mean oxygen content above at $\alpha=5 \%$ level of significance? Suppose that the oxygen content of river water below or above the town was normally distributed with equal variances."	
MI2026E-5-1	MI2026E-5	hard	"Problem 5: (2.5 points) A study was made on the amount of converted sugar $(Y)$ in a certain process at various temperatures $(X)$. The data were coded and recorded as follows:
\begin{tabular}{|c|c|c|c|c|c|c|c|c|c|c|}
\hline$X$ & 1.0 & 1.1 & 1.2 & 1.3 & 1.4 & 1.5 & 1.6 & 1.7 & 1.8 & 1.9 \\
\hline$Y$ & 8.1 & 7.8 & 8.5 & 9.8 & 9.5 & 8.9 & 8.6 & 10.2 & 9.3 & 9.2 \\
\hline
\end{tabular}
a) Find the estimated regression line of $Y$ based on $X$.
b) Test on the slope coefficient to determine whether there exists a positive linear relationship between $X$ and $Y$ at $5 \%$ level of significance.
Given that: $\Phi(1.28)=0.9 ; \Phi(1.645)=0.95 ; \Phi(1.96)=0.975$ where $\Phi(z)=\int_{-\infty}^z \frac{1}{\sqrt{2 \pi}} e^{-x^2 / 2} d x$ and $t_{18 ; 0.05}=1.734 ; t_{18 ; 0.025}=2.1 ; t_{8 ; 0.05}=1.86 ; t_{8 ; 0.025}=2.31$."	
MI2026E-1-2	MI2026E-1	easy	"Problem 1: (1.5 points) A plane's ""black-box"" is manufactured by only 3 companies: AirCorp, BigSkies, and CharterUS - who make $45 \%, 25 \%$, and $30 \%$ of all the black-boxes made, respectively. Invariably, some of these are defective. Assuming the percentage of defective blackboxes made by AirCorp, BigSkies, and CharterUS are $4 \%, 6 \%$, and $8 \%$, respectively. Find the probability that a randomly selected black-box came from BigSkies given that it was found to be defective."	
MI2026E-2-2	MI2026E-2	easy	"Problem 2: (2.0 points) Suppose X and Y are continuous random variables with the following joint probability density function (pdf):

$$
f(x, y)=\left\{\begin{array}{l}
\frac{3}{2} x y \text { if } x>0, y>0 \text { and } x+y<2, \\
0 \text { otherwise }
\end{array}\right.
$$


Calculate the coefficient of correlation between $X$ and $Y$. Are $X$ and $Y$ independent?"	
MI2026E-3-2	MI2026E-3	medium	"Problem 3: ( 2.0 points) Insurance companies are interested in knowing the population percent of drivers who always buckle up before riding in a car. They randomly surveyed 500 drivers and found that 420 claimed they always buckle up.
a) Find the point estimator of the proportion (p) of drivers who claim they always buckle up by the maximum likelihood estimation method.
b) Find a $95 \%$ confidence interval for $p$."	
MI2026E-4-2	MI2026E-4	medium	"Problem 4: (2.0 points) The dissolved oxygen content in river water was measured to determine whether a stream had sufficient oxygen to support aquatic life. A pollution control inspector suspected that a river community was releasing amounts of semitreated sewage into a river. To check his theory, he drew ten randomly selected specimens of river water at a location above the town, and another ten below. The dissolved oxygen readings (in parts per million) are as follows:

Below Town: 5.1, 4.8, 5.0, 4.9, 5.0, 4.9, 4.8, 5.1, 4.9, 4.9
Above Town: 4.9, 5.3, 5.1, 5.0, 5.2, 5.2, 5.0, 5.0, 5.5, 5.1
Do the data provide sufficient evidence to indicate that the mean oxygen content below the town is less than the mean oxygen content above at $\alpha=5 \%$ level of significance? Suppose that the oxygen content of river water below or above the town was normally distributed with equal variances."	
MI2026E-5-2	MI2026E-5	hard	"Problem 5: (2.5 points) A study was made on the amount of converted sugar $(Y)$ in a certain process at various temperatures $(X)$. The data were coded and recorded as follows:
\begin{tabular}{|c|c|c|c|c|c|c|c|c|c|c|}
\hline$X$ & 1.1 & 1.2 & 1.3 & 1.4 & 1.5 & 1.6 & 1.7 & 1.8 & 1.9 & 2.0 \\
\hline$Y$ & 8.0 & 7.7 & 8.4 & 9.7 & 9.4 & 8.8 & 8.5 & 10.1 & 9.2 & 9.1 \\
\hline
\end{tabular}
a) Find the estimated regression line of $Y$ based on $X$.
b) Test on the slope coefficient to determine whether there exists a positive linear relationship between $X$ and $Y$ at $5 \%$ level of significance.
Given that: $\Phi(1.28)=0.9 ; \Phi(1.645)=0.95 ; \Phi(1.96)=0.975$ where $\Phi(z)=\int_{-\infty}^z \frac{1}{\sqrt{2 \pi}} e^{-x^2 / 2} d x$ and $t_{18 ; 0.05}=1.734 ; t_{18 ; 0.025}=2.1 ; t_{8 ; 0.05}=1.86 ; t_{8 ; 0.025}=2.31$."	
